DISTRITO,CONCELHO,NOME CONCELHO,14 DIAS,POPULAÇÃO PORDATA
07,13,Viana do Alentejo,155.52,5144
16,09,Viana do Castelo,130.14,84527
02,14,Vidigueira,90.84,5504
03,11,Vieira do Minho,42.12,11870
05,10,Vila de Rei,90.31,3322
08,15,Vila do Bispo,174.62,5154
13,16,Vila do Conde,260.85,79739
04,10,Vila Flor,544.64,6059
11,14,Vila Franca de Xira,246.16,141780
14,20,Vila Nova da Barquinha,67.28,7432
16,10,Vila Nova de Cerveira,67.46,8894
03,12,Vila Nova de Famalicão,212.59,131707
09,14,Vila Nova de Foz Côa,15.33,6522
13,17,Vila Nova de Gaia,218.85,300205
18,22,Vila Nova de Paiva,42.51,4705
06,17,Vila Nova de Poiares,14.42,6934
17,13,Vila Pouca de Aguiar,317.06,11985
17,14,Vila Real,222.38,49915
08,16,Vila Real de Santo António,95.65,18819
05,11,Vila Velha de Ródão,158.43,3156
03,13,Vila Verde,209.01,46888
07,14,Vila Viçosa,260.15,7688
04,11,Vimioso,49.42,4047
04,12,Vinhais,102.60,7797
18,23,Viseu,92.67,97120
03,14,Vizela,745.74,23869
18,24,Vouzela,102.86,9722
